0.000000	1.000000e+00	0.000000e+00	0.000000e+00
0.000100	9.950141e-01	4.975899e-03	9.966190e-06
0.000200	9.900564e-01	9.903859e-03	3.973015e-05
0.000300	9.851266e-01	1.478427e-02	8.909138e-05
0.000400	9.802246e-01	1.961752e-02	1.578512e-04
0.000500	9.753502e-01	2.440399e-02	2.458129e-04
0.000600	9.705032e-01	2.914406e-02	3.527814e-04
0.000700	9.656833e-01	3.383812e-02	4.785636e-04
0.000800	9.608905e-01	3.848652e-02	6.229682e-04
0.000900	9.561245e-01	4.308966e-02	7.858054e-04
0.001000	9.513852e-01	4.764788e-02	9.668874e-04
0.001100	9.466724e-01	5.216156e-02	1.166028e-03
0.001200	9.419859e-01	5.663105e-02	1.383043e-03
0.001300	9.373255e-01	6.105673e-02	1.617750e-03
0.001400	9.326911e-01	6.543893e-02	1.869967e-03
0.001500	9.280825e-01	6.977801e-02	2.139515e-03
0.001600	9.234995e-01	7.407432e-02	2.426217e-03
0.001700	9.189419e-01	7.832821e-02	2.729897e-03
0.001800	9.144096e-01	8.254001e-02	3.050379e-03
0.001900	9.099024e-01	8.671008e-02	3.387491e-03
0.002000	9.054202e-01	9.083874e-02	3.741062e-03
0.002100	9.009627e-01	9.492633e-02	4.110922e-03
0.002200	8.965299e-01	9.897318e-02	4.496903e-03
0.002300	8.921215e-01	1.029796e-01	4.898838e-03
0.002400	8.877375e-01	1.069460e-01	5.316562e-03
0.002500	8.833775e-01	1.108726e-01	5.749911e-03
0.002600	8.790416e-01	1.147597e-01	6.198724e-03
0.002700	8.747294e-01	1.186077e-01	6.662840e-03
0.002800	8.704410e-01	1.224169e-01	7.142099e-03
0.002900	8.661760e-01	1.261877e-01	7.636344e-03
0.003000	8.619344e-01	1.299202e-01	8.145418e-03
0.003100	8.577160e-01	1.336148e-01	8.669167e-03
0.003200	8.535207e-01	1.372719e-01	9.207437e-03
0.003300	8.493483e-01	1.408917e-01	9.760077e-03
0.003400	8.451986e-01	1.444745e-01	1.032693e-02
0.003500	8.410716e-01	1.480206e-01	1.090786e-02
0.003600	8.369670e-01	1.515303e-01	1.150271e-02
0.003700	8.328847e-01	1.550040e-01	1.211133e-02
0.003800	8.288246e-01	1.584418e-01	1.273358e-02
0.003900	8.247866e-01	1.618441e-01	1.336931e-02
0.004000	8.207705e-01	1.652112e-01	1.401839e-02
0.004100	8.167761e-01	1.685433e-01	1.468067e-02
0.004200	8.128033e-01	1.718407e-01	1.535601e-02
0.004300	8.088520e-01	1.751038e-01	1.604427e-02
0.004400	8.049220e-01	1.783327e-01	1.674531e-02
0.004500	8.010133e-01	1.815277e-01	1.745900e-02
0.004600	7.971256e-01	1.846892e-01	1.818520e-02
0.004700	7.932588e-01	1.878174e-01	1.892378e-02
0.004800	7.894129e-01	1.909125e-01	1.967461e-02
0.004900	7.855876e-01	1.939749e-01	2.043755e-02
0.005000	7.817828e-01	1.970047e-01	2.121247e-02
0.005100	7.779985e-01	2.000022e-01	2.199925e-02
0.005200	7.742345e-01	2.029678e-01	2.279775e-02
0.005300	7.704906e-01	2.059016e-01	2.360785e-02
0.005400	7.667667e-01	2.088039e-01	2.442943e-02
0.005500	7.630627e-01	2.116749e-01	2.526235e-02
0.005600	7.593785e-01	2.145150e-01	2.610650e-02
0.005700	7.557139e-01	2.173243e-01	2.696175e-02
0.005800	7.520689e-01	2.201031e-01	2.782798e-02
0.005900	7.484433e-01	2.228516e-01	2.870507e-02
0.006000	7.448369e-01	2.255702e-01	2.959291e-02
0.006100	7.412498e-01	2.282589e-01	3.049136e-02
0.006200	7.376816e-01	2.309181e-01	3.140032e-02
0.006300	7.341324e-01	2.335479e-01	3.231968e-02
0.006400	7.306020e-01	2.361487e-01	3.324930e-02
0.006500	7.270903e-01	2.387207e-01	3.418909e-02
0.006600	7.235971e-01	2.412640e-01	3.513892e-02
0.006700	7.201224e-01	2.437789e-01	3.609869e-02
0.006800	7.166661e-01	2.462657e-01	3.706828e-02
0.006900	7.132279e-01	2.487245e-01	3.804759e-02
0.007000	7.098079e-01	2.511556e-01	3.903650e-02
0.007100	7.064059e-01	2.535592e-01	4.003491e-02
0.007200	7.030218e-01	2.559355e-01	4.104271e-02
0.007300	6.996555e-01	2.582847e-01	4.205980e-02
0.007400	6.963068e-01	2.606071e-01	4.308606e-02
0.007500	6.929758e-01	2.629028e-01	4.412139e-02
0.007600	6.896621e-01	2.651722e-01	4.516570e-02
0.007700	6.863659e-01	2.674153e-01	4.621887e-02
0.007800	6.830868e-01	2.696324e-01	4.728081e-02
0.007900	6.798249e-01	2.718236e-01	4.835142e-02
0.008000	6.765801e-01	2.739893e-01	4.943059e-02
0.008100	6.733521e-01	2.761296e-01	5.051823e-02
0.008200	6.701410e-01	2.782447e-01	5.161423e-02
0.008300	6.669467e-01	2.803348e-01	5.271851e-02
0.008400	6.637689e-01	2.824001e-01	5.383097e-02
0.008500	6.606077e-01	2.844408e-01	5.495150e-02
0.008600	6.574629e-01	2.864571e-01	5.608001e-02
0.008700	6.543344e-01	2.884492e-01	5.721642e-02
0.008800	6.512221e-01	2.904173e-01	5.836063e-02
0.008900	6.481260e-01	2.923615e-01	5.951254e-02
0.009000	6.450458e-01	2.942821e-01	6.067206e-02
0.009100	6.419817e-01	2.961792e-01	6.183911e-02
0.009200	6.389333e-01	2.980531e-01	6.301359e-02
0.009300	6.359007e-01	2.999039e-01	6.419542e-02
0.009400	6.328837e-01	3.017318e-01	6.538450e-02
0.009500	6.298823e-01	3.035369e-01	6.658075e-02
0.009600	6.268964e-01	3.053195e-01	6.778408e-02
0.009700	6.239258e-01	3.070798e-01	6.899441e-02
0.009800	6.209705e-01	3.088179e-01	7.021165e-02
0.009900	6.180303e-01	3.105339e-01	7.143572e-02
0.010000	6.151053e-01	3.122282e-01	7.266652e-02
0.010100	6.121953e-01	3.139007e-01	7.390399e-02
0.010200	6.093001e-01	3.155518e-01	7.514804e-02
0.010300	6.064198e-01	3.171816e-01	7.639858e-02
0.010400	6.035543e-01	3.187902e-01	7.765554e-02
0.010500	6.007033e-01	3.203778e-01	7.891883e-02
0.010600	5.978670e-01	3.219446e-01	8.018837e-02
0.010700	5.950451e-01	3.234908e-01	8.146410e-02
0.010800	5.922376e-01	3.250165e-01	8.274592e-02
0.010900	5.894444e-01	3.265218e-01	8.403376e-02
0.011000	5.866654e-01	3.280070e-01	8.532755e-02
0.011100	5.839006e-01	3.294722e-01	8.662720e-02
0.011200	5.811498e-01	3.309175e-01	8.793265e-02
0.011300	5.784130e-01	3.323432e-01	8.924382e-02
0.011400	5.756901e-01	3.337493e-01	9.056063e-02
0.011500	5.729809e-01	3.351361e-01	9.188301e-02
0.011600	5.702855e-01	3.365036e-01	9.321089e-02
