0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000400	9.672819e-01	3.227572e-02	4.393300e-04	3.066463e-06	1.452339e-08	5.579356e-11	1.937747e-13	6.367563e-16	1.991030e-18	5.889637e-21	1.639721e-23	4.279383e-26	1.042469e-28	2.358404e-31	4.925665e-34	9.431342e-37	1.641872e-39	2.572753e-42	3.583891e-45	4.368877e-48	4.565503e-51	3.976276e-54	2.770798e-57	1.448255e-60	5.047127e-64	8.795568e-68
0.000800	9.357609e-01	6.251186e-02	1.703270e-03	2.379322e-05	2.255341e-07	1.734231e-09	1.205769e-11	7.933094e-14	4.967047e-16	2.942446e-18	1.640740e-20	8.577315e-23	4.185860e-25	1.897323e-27	7.940364e-30	3.046856e-32	1.063093e-34	3.339136e-37	9.324928e-40	2.279114e-42	4.775742e-45	8.341336e-48	1.165793e-50	1.222277e-53	8.545315e-57	2.987841e-60
0.001200	9.053886e-01	9.081737e-02	3.714993e-03	7.789539e-05	1.108309e-06	1.279370e-08	1.335547e-10	1.319476e-12	1.240710e-14	1.103931e-16	9.246666e-19	7.262055e-21	5.324840e-23	3.626833e-25	2.281087e-27	1.315586e-29	6.900099e-32	3.258260e-34	1.368093e-36	5.028118e-39	1.584531e-41	4.162619e-44	8.751345e-47	1.380373e-49	1.452041e-52	7.639834e-56
0.001600	8.761189e-01	1.172955e-01	6.403037e-03	1.791313e-04	3.400622e-06	5.238199e-08	7.297919e-10	9.623945e-12	1.208045e-13	1.435042e-15	1.604974e-17	1.683269e-19	1.648401e-21	1.499675e-23	1.260015e-25	9.708859e-28	6.804097e-30	4.293566e-32	2.409442e-34	1.183657e-36	4.986453e-39	1.751377e-41	4.923354e-44	1.038502e-46	1.461052e-49	1.028248e-52
0.002000	8.479074e-01	1.420439e-01	9.700959e-03	3.394717e-04	8.061198e-06	1.553399e-07	2.707857e-09	4.468517e-11	7.019828e-13	1.043734e-14	1.461253e-16	1.918646e-18	2.352551e-20	2.680151e-22	2.820166e-24	2.721795e-26	2.389446e-28	1.889016e-30	1.328238e-32	8.176716e-35	4.317077e-37	1.900528e-39	6.697360e-42	1.771126e-44	3.124348e-47	2.757368e-50
0.002400	8.207118e-01	1.651553e-01	1.354701e-02	5.692552e-04	1.623244e-05	3.756632e-07	7.865719e-09	1.559307e-10	2.943064e-12	5.257953e-14	8.846202e-16	1.395990e-17	2.057471e-19	2.817815e-21	3.564821e-23	4.136945e-25	4.367513e-27	4.152760e-29	3.512311e-31	2.601138e-33	1.652317e-35	8.752837e-38	3.711941e-40	1.181467e-42	2.508756e-45	2.665462e-48
0.002800	7.944914e-01	1.867174e-01	1.788382e-02	8.773328e-04	2.920705e-05	7.892232e-07	1.929757e-08	4.468044e-10	9.850460e-12	2.055861e-13	4.041148e-15	7.451654e-17	1.283448e-18	2.054388e-20	3.037979e-22	4.121500e-24	5.087331e-26	5.656198e-28	5.594542e-30	4.845858e-32	3.600713e-34	2.231432e-36	1.107205e-38	4.123753e-41	1.024769e-43	1.274350e-46
0.003200	7.692075e-01	2.068133e-01	2.265814e-02	1.271200e-03	4.839819e-05	1.495836e-06	4.184038e-08	1.108351e-09	2.795976e-11	6.677849e-13	1.502328e-14	3.170892e-16	6.252123e-18	1.145787e-19	1.940125e-21	3.014226e-23	4.261258e-25	5.426901e-27	6.149267e-29	6.102575e-31	5.195971e-33	3.690203e-35	2.098626e-37	8.959692e-40	2.552537e-42	3.639432e-45
0.003600	7.448227e-01	2.255216e-01	2.782051e-02	1.757120e-03	7.531287e-05	2.620763e-06	8.254847e-08	2.462743e-09	6.997667e-11	1.882711e-12	4.771889e-14	1.134847e-15	2.521540e-17	5.208062e-19	9.940036e-21	1.740892e-22	2.774751e-24	3.984559e-26	5.091506e-28	5.698794e-30	5.473134e-32	4.385021e-34	2.813594e-36	1.355430e-38	4.357795e-41	7.012810e-44
0.004000	7.213016e-01	2.429170e-01	3.332509e-02	2.340234e-03	1.115283e-04	4.315710e-06	1.511850e-07	5.017098e-09	1.585881e-10	4.747161e-12	1.338829e-13	3.543305e-15	8.762445e-17	2.014541e-18	4.280361e-20	8.346589e-22	1.481352e-23	2.368993e-25	3.371567e-27	4.203618e-29	4.497632e-31	4.014948e-33	2.870669e-35	1.541223e-37	5.522999e-40	9.907716e-43
0.004400	6.986101e-01	2.590701e-01	3.912935e-02	3.024667e-03	1.586706e-04	6.759403e-06	2.607207e-07	9.527717e-09	3.316853e-10	1.093601e-11	3.397585e-13	9.906644e-15	2.699406e-16	6.839054e-18	1.601510e-19	3.442231e-21	6.734779e-23	1.187452e-24	1.863476e-26	2.562169e-28	3.023530e-30	2.977208e-32	2.348360e-34	1.391082e-36	5.500747e-39	1.089014e-41
